Ground-truth,frame,xnano,ynano,znano,intensity 
   57,  9918, 4.280, 829.626, 336.556, 2638.593 
   58,  5752, 62.319, 877.831, 337.505, 3753.903 
   59,  5753, 62.319, 877.831, 337.505, 4413.597 
   60,  5754, 62.319, 877.831, 337.505, 4413.597 
   61,  5755, 62.319, 877.831, 337.505, 2608.627 
   62,  5758, 62.319, 877.831, 337.505, 3336.515 
   63,  5759, 62.319, 877.831, 337.505, 1340.338 
   64,  9044, 23.797, 829.845, 339.588, 1049.683 
   65, 13937, 4.932, 814.765, 334.659, 821.072 
   66, 13938, 4.932, 814.765, 334.659, 274.963 
   67, 11971, 49.057, 846.598, 336.617, 2862.712 
   68, 11972, 49.057, 846.598, 336.617, 3977.163 
   69, 11973, 49.057, 846.598, 336.617, 148.910 
   70, 19252, 35.970, 841.681, 349.052, 1079.894 
   71, 15467, 8.884, 824.190, 332.555, 2189.274 
   72, 15468, 8.884, 824.190, 332.555, 107.935 
   73, 15473, 8.884, 824.190, 332.555, 1459.158 
   74, 15474, 8.884, 824.190, 332.555, 4319.246 
   75, 15475, 8.884, 824.190, 332.555, 257.171 
   76, 15193, 29.128, 838.330, 336.055, 2016.740 
   77, 15194, 29.128, 838.330, 336.055, 2163.209 
   78,  3016, 93.849, 874.974, 342.207, 1950.172 
   79,  3017, 93.849, 874.974, 342.207, 3634.762 
   80,  3018, 93.849, 874.974, 342.207, 1079.473 
   81,  3021, 93.849, 874.974, 342.207, 2509.963 
   82,  3022, 93.849, 874.974, 342.207, 2055.554 
   83, 19647, 9.671, 832.912, 336.335, 91.197 
   84,  2335, 16.757, 837.452, 338.009, 369.351 
   85,  2336, 16.757, 837.452, 338.009, 1505.535 
   86,  2337, 16.757, 837.452, 338.009, 2695.482 
   87,  2338, 16.757, 837.452, 338.009, 3885.432 
   88,  2339, 16.757, 837.452, 338.009, 207.100 
   89,  9059, 91.976, 881.873, 348.598, 3531.085 
   90,  9060, 91.976, 881.873, 348.598, 211.361 
   91,  6633, 72.758, 862.517, 342.973, 1874.334 
   92,  6636, 72.758, 862.517, 342.973, 3111.531 
   93,  6637, 72.758, 862.517, 342.973, 4243.668 
   94,  6638, 72.758, 862.517, 342.973, 725.033 
   95, 18066, 58.817, 852.075, 342.285, 1469.903 
   96, 18067, 58.817, 852.075, 342.285, 1786.962 
   97,  1943, 53.393, 866.731, 332.491, 3973.853 
   98,  1944, 53.393, 866.731, 332.491, 2179.471 
   99, 15885, 49.634, 863.247, 335.696, 1002.146 
  100, 15886, 49.634, 863.247, 335.696, 2850.326 
  101, 13849, 59.288, 872.776, 337.254, 3712.227 
  102, 13850, 59.288, 872.776, 337.254, 3260.630 
  103,    68, 57.409, 860.667, 333.002, 381.722 
  104,    69, 57.409, 860.667, 333.002, 4223.794 
  105,    70, 57.409, 860.667, 333.002, 4223.794 
  106,    71, 57.409, 860.667, 333.002, 3105.848 
  107,    79, 57.409, 860.667, 333.002, 2120.828 
  108,    80, 57.409, 860.667, 333.002, 4223.794 
  109,    81, 57.409, 860.667, 333.002, 2073.380 
  110,    82, 57.409, 860.667, 333.002, 1218.744 
  111,    83, 57.409, 860.667, 333.002, 1135.595 
  112, 13363, 20.079, 842.081, 337.121, 1837.977 
  113, 13364, 20.079, 842.081, 337.121, 3986.145 
  114, 13365, 20.079, 842.081, 337.121, 3986.145 
  115, 13366, 20.079, 842.081, 337.121, 3986.145 
  116, 13367, 20.079, 842.081, 337.121, 358.299 
  117, 10781, 24.615, 846.122, 333.321, 1829.830 
  118, 13011, 84.412, 870.844, 341.156, 551.261 
  119, 13012, 84.412, 870.844, 341.156, 107.121 
  120, 12284, 55.002, 858.637, 349.557, 831.865 
  121,  6496, 85.640, 871.453, 332.388, 1431.718 
  122, 14973, 74.740, 870.116, 330.739, 2116.660 
  123, 14974, 74.740, 870.116, 330.739, 813.920 
  124, 14980, 74.740, 870.116, 330.739, 1910.521 
  125, 14981, 74.740, 870.116, 330.739, 4315.353 
  126, 14982, 74.740, 870.116, 330.739, 1057.629 
  127, 12036, 39.844, 846.701, 351.169, 3640.625 
  128, 12037, 39.844, 846.701, 351.169, 4023.364 
  129, 12038, 39.844, 846.701, 351.169, 3185.900 
  130,   126, 70.208, 864.038, 350.239, 411.375 
  131,   134, 70.208, 864.038, 350.239, 1236.698 
  132,   135, 70.208, 864.038, 350.239, 2223.056 
  133, 15308, 76.580, 875.788, 351.740, 1470.685 
  134, 15309, 76.580, 875.788, 351.740, 4417.165 
  135, 15313, 76.580, 875.788, 351.740, 638.125 
  136, 15314, 76.580, 875.788, 351.740, 4597.196 
  137, 15315, 76.580, 875.788, 351.740, 4597.196 
  138, 15316, 76.580, 875.788, 351.740, 4597.196 
  139, 15317, 76.580, 875.788, 351.740, 2355.276 
  140, 15196, 45.472, 854.250, 350.515, 1145.881 
  141, 15197, 45.472, 854.250, 350.515, 3161.261 
  142, 19240, 32.313, 838.638, 350.992, 1646.018 
  143, 19241, 32.313, 838.638, 350.992, 4317.989 
  144, 19242, 32.313, 838.638, 350.992, 4317.989 
  145, 19243, 32.313, 838.638, 350.992, 2425.906 
  146,  7385, 23.873, 832.327, 354.545, 3471.657 
  147,  7386, 23.873, 832.327, 354.545, 1293.504 
  148,  7390, 23.873, 832.327, 354.545, 201.894 
  149,  7391, 23.873, 832.327, 354.545, 4109.197 
  150,  7392, 23.873, 832.327, 354.545, 314.054 
  151,  7177, 18.340, 841.958, 350.540, 2850.440 
  152, 13674, 21.612, 834.983, 353.262, 473.777 
  153, 13675, 21.612, 834.983, 353.262, 3653.711 
  154, 13678, 21.612, 834.983, 353.262, 2040.865 
  155, 10870, 53.612, 865.733, 350.939, 3691.227 
  156, 10871, 53.612, 865.733, 350.939, 4399.990 
  157, 10872, 53.612, 865.733, 350.939, 4399.990 
  158, 10873, 53.612, 865.733, 350.939, 714.254 
  159,  3540, 13.935, 829.418, 353.396, 2480.564 
  160,  3541, 13.935, 829.418, 353.396, 672.524 
  161,  6262, 117.705, 893.118, 336.263, 379.631 
  162,  6263, 117.705, 893.118, 336.263, 1741.754 
  163,  6264, 117.705, 893.118, 336.263, 101.629 
  164,  6265, 117.705, 893.118, 336.263, 96.172 
  165,  3472, 104.133, 885.375, 348.852, 199.774 
  166,  3473, 104.133, 885.375, 348.852, 1034.184 
  167, 10724, 108.011, 891.418, 329.653, 2728.966 
  168, 10008, 122.421, 894.671, 331.982, 3981.558 
  169, 10009, 122.421, 894.671, 331.982, 1077.466 
  170, 10011, 122.421, 894.671, 331.982, 3696.528 
  171, 10012, 122.421, 894.671, 331.982, 4288.525 
  172, 10013, 122.421, 894.671, 331.982, 4167.806 
  173,  1270, 108.455, 889.023, 336.353, 177.522 
  174,  6405, 125.460, 899.005, 341.437, 481.595 
  175,  5113, 175.633, 944.889, 344.513, 785.857 
  176,  5114, 175.633, 944.889, 344.513, 4916.758 
  177,  5115, 175.633, 944.889, 344.513, 1203.411 
  178, 11887, 132.513, 921.375, 337.760, 1911.699 
  179, 11888, 132.513, 921.375, 337.760, 4520.500 
  180, 11889, 132.513, 921.375, 337.760, 1497.013 
  181,  9242, 158.456, 920.692, 329.781, 2571.070 
  182, 16042, 164.501, 939.112, 342.178, 1950.034 
  183,   319, 154.101, 918.335, 341.055, 268.117 
  184,   320, 154.101, 918.335, 341.055, 4447.156 
  185,   321, 154.101, 918.335, 341.055, 976.177 
  186,  4369, 145.052, 911.322, 342.946, 1248.953 
  187,  4370, 145.052, 911.322, 342.946, 4686.392 
  188,  4371, 145.052, 911.322, 342.946, 543.028 
  189, 15886, 199.637, 956.123, 345.227, 4656.882 
  190, 15887, 199.637, 956.123, 345.227, 3228.048 
  191, 14764, 136.451, 909.715, 347.871, 3338.774 
  192, 14765, 136.451, 909.715, 347.871, 4795.847 
  193, 14766, 136.451, 909.715, 347.871, 1263.674 
  194, 16537, 157.077, 922.557, 326.644, 1515.984 
  195,  8995, 110.895, 903.812, 331.888, 3862.155 
  196,  8996, 110.895, 903.812, 331.888, 119.957 
  197,  9004, 110.895, 903.812, 331.888, 3149.994 
  198,  9005, 110.895, 903.812, 331.888, 4245.772 
  199,  9006, 110.895, 903.812, 331.888, 3940.484 
  200,  9007, 110.895, 903.812, 331.888, 4245.772 
  201,  9008, 110.895, 903.812, 331.888, 4245.772 
  202,  9009, 110.895, 903.812, 331.888, 4245.772 
  203,  9010, 110.895, 903.812, 331.888, 4245.772 
  204,  9011, 110.895, 903.812, 331.888, 4196.490 
  205,  5949, 158.176, 928.314, 345.589, 3039.353 
  206,  5950, 158.176, 928.314, 345.589, 4832.020 
  207,  5951, 158.176, 928.314, 345.589, 1847.534 
  208, 14530, 187.731, 938.377, 331.503, 3948.293 
  209, 14531, 187.731, 938.377, 331.503, 2526.876 
  210, 16445, 125.318, 915.744, 339.463, 1362.688 
  211, 16446, 125.318, 915.744, 339.463, 3519.149 
  212, 16447, 125.318, 915.744, 339.463, 582.277 
  213, 13986, 165.626, 927.525, 331.442, 1312.373 
  214, 13991, 165.626, 927.525, 331.442, 3815.377 
  215, 13992, 165.626, 927.525, 331.442, 4518.560 
  216, 13993, 165.626, 927.525, 331.442, 4518.560 
  217, 13994, 165.626, 927.525, 331.442, 4518.560 
  218, 13995, 165.626, 927.525, 331.442, 1207.007 
  219,    44, 122.105, 901.233, 349.897, 371.369 
  220,    50, 122.105, 901.233, 349.897, 2204.959 
  221,    51, 122.105, 901.233, 349.897, 1256.517 
  222, 12432, 163.226, 926.734, 341.940, 3881.585 
  223, 12433, 163.226, 926.734, 341.940, 533.548 
  224, 14066, 136.938, 905.629, 344.921, 4586.674 
  225, 14067, 136.938, 905.629, 344.921, 4718.184 
  226, 14068, 136.938, 905.629, 344.921, 4718.184 
  227, 14069, 136.938, 905.629, 344.921, 3829.864 
  228, 14070, 136.938, 905.629, 344.921, 4718.184 
  229, 14071, 136.938, 905.629, 344.921, 4718.184 
  230, 14072, 136.938, 905.629, 344.921, 1928.694 
  231,  8674, 111.636, 907.260, 342.317, 395.449 
  232,  8675, 111.636, 907.260, 342.317, 4526.224 
  233,  8676, 111.636, 907.260, 342.317, 3658.479 
  234, 13598, 148.136, 927.842, 329.477, 2498.567 
  235, 13599, 148.136, 927.842, 329.477, 4744.888 
  236, 13600, 148.136, 927.842, 329.477, 4744.888 
  237, 13601, 148.136, 927.842, 329.477, 3443.758 
  238, 18101, 145.229, 910.143, 340.457, 3601.857 
  239, 18104, 145.229, 910.143, 340.457, 780.631 
  240, 18105, 145.229, 910.143, 340.457, 1193.956 
  241, 18966, 123.147, 913.406, 328.848, 425.620 
  242, 18967, 123.147, 913.406, 328.848, 4504.465 
  243, 18968, 123.147, 913.406, 328.848, 829.809 
  244, 13523, 177.372, 932.479, 335.407, 3732.717 
  245, 13525, 177.372, 932.479, 335.407, 2794.406 
  246, 13526, 177.372, 932.479, 335.407, 4210.580 
  247, 13527, 177.372, 932.479, 335.407, 4479.984 
  248, 13528, 177.372, 932.479, 335.407, 4830.432 
  249, 13529, 177.372, 932.479, 335.407, 610.520 
  250, 10412, 171.340, 944.549, 345.865, 622.668 
  251, 10413, 171.340, 944.549, 345.865, 4948.011 
  252, 10414, 171.340, 944.549, 345.865, 4948.011 
  253, 10415, 171.340, 944.549, 345.865, 959.738 
  254, 15660, 159.976, 939.832, 341.257, 1155.997 
  255, 15661, 159.976, 939.832, 341.257, 2910.046 
  256,  1946, 147.824, 926.490, 329.109, 4445.423 
  257,  1947, 147.824, 926.490, 329.109, 2554.639 
  258,  1949, 147.824, 926.490, 329.109, 1979.079 
  259, 13557, 184.505, 946.833, 325.508, 2312.824 
  260, 13558, 184.505, 946.833, 325.508, 1831.961 
  261, 16354, 182.341, 942.181, 327.621, 2577.406 
  262, 16355, 182.341, 942.181, 327.621, 2223.079 
  263, 11343, 127.777, 913.255, 331.994, 4626.290 
  264, 11344, 127.777, 913.255, 331.994, 1755.790 
  265, 13312, 111.955, 901.535, 346.069, 3842.620 
  266, 13313, 111.955, 901.535, 346.069, 1849.864 
  267,  7782, 184.456, 955.883, 335.171, 2444.887 
  268,  7783, 184.456, 955.883, 335.171, 4505.754 
  269,  7784, 184.456, 955.883, 335.171, 4505.754 
  270,  7785, 184.456, 955.883, 335.171, 402.206 
  271,  7500, 221.786, 964.156, 325.245, 271.743 
  272,  7501, 221.786, 964.156, 325.245, 920.672 
  273,  7977, 222.398, 961.887, 332.693, 1448.279 
  274,  7978, 222.398, 961.887, 332.693, 2855.355 
  275,  7979, 222.398, 961.887, 332.693, 1608.219 
  276,  7980, 222.398, 961.887, 332.693, 4840.689 
  277,  7981, 222.398, 961.887, 332.693, 4840.689 
  278,  7982, 222.398, 961.887, 332.693, 4840.689 
  279,  7983, 222.398, 961.887, 332.693, 2095.125 
  280,  7986, 222.398, 961.887, 332.693, 658.515 
  281,  8931, 254.042, 985.539, 339.191, 81.306 
  282,  8934, 254.042, 985.539, 339.191, 4811.739 
  283,  8935, 254.042, 985.539, 339.191, 5029.101 
  284,  8936, 254.042, 985.539, 339.191, 3910.018 
  285,  5017, 222.831, 982.675, 331.131, 2219.919 
  286,  5018, 222.831, 982.675, 331.131, 4683.597 
  287,  5019, 222.831, 982.675, 331.131, 1071.289 
  288, 17498, 212.505, 953.089, 334.701, 2049.359 
  289, 17499, 212.505, 953.089, 334.701, 4664.942 
  290, 17500, 212.505, 953.089, 334.701, 2699.397 
  291,  9371, 200.193, 966.206, 332.586, 612.327 
  292,  9372, 200.193, 966.206, 332.586, 4682.664 
  293,  9373, 200.193, 966.206, 332.586, 4682.664 
  294,  9374, 200.193, 966.206, 332.586, 2275.239 
  295,  9381, 200.193, 966.206, 332.586, 127.868 
  296, 17105, 265.328, 993.880, 339.016, 4579.755 
  297, 17106, 265.328, 993.880, 339.016, 4758.861 
  298, 17107, 265.328, 993.880, 339.016, 4758.861 
  299, 17108, 265.328, 993.880, 339.016, 4758.861 
  300, 17109, 265.328, 993.880, 339.016, 4758.861 
  301, 17110, 265.328, 993.880, 339.016, 4758.861 
  302, 17111, 265.328, 993.880, 339.016, 785.468 
  303,  2818, 206.332, 971.149, 340.606, 1130.299 
  304,  2819, 206.332, 971.149, 340.606, 4453.498 
  305,  2099, 251.742, 987.093, 339.798, 1350.025 
  306, 12270, 243.688, 988.470, 323.902, 1286.799 
  307, 12272, 243.688, 988.470, 323.902, 3287.668 
  308, 12930, 248.475, 983.851, 333.644, 191.386 
  309, 14322, 202.086, 971.463, 335.404, 2392.602 
  310, 14323, 202.086, 971.463, 335.404, 4994.027 
  311, 14324, 202.086, 971.463, 335.404, 1706.489 
  312, 10764, 255.697, 986.627, 333.801, 3872.116 
  313, 10765, 255.697, 986.627, 333.801, 4123.035 
  314, 10766, 255.697, 986.627, 333.801, 709.358 
  315, 11535, 260.155, 991.696, 324.030, 1186.809 
  316,  2692, 241.703, 975.658, 328.989, 410.219 
  317,  2693, 241.703, 975.658, 328.989, 4437.237 
  318,  6493, 230.348, 972.289, 328.892, 2336.661 
  319, 11673, 246.307, 983.050, 328.328, 1413.948 
  320,  4475, 257.430, 990.624, 327.560, 4648.467 
  321,  4476, 257.430, 990.624, 327.560, 4172.737 
  322,  4477, 257.430, 990.624, 327.560, 5208.350 
  323, 14673, 214.038, 960.295, 342.525, 2586.483 
  324,  8950, 230.667, 985.667, 326.720, 4718.284 
  325,  8951, 230.667, 985.667, 326.720, 4740.739 
  326,  8952, 230.667, 985.667, 326.720, 4740.739 
  327,  8953, 230.667, 985.667, 326.720, 1011.997 
  328, 18771, 241.954, 976.473, 340.699, 792.229 
  329, 19011, 202.421, 961.349, 345.199, 650.440 
  330, 10333, 219.357, 960.420, 332.992, 2150.600 
  331, 10334, 219.357, 960.420, 332.992, 1206.413 
  332, 13900, 227.314, 970.909, 327.183, 2585.782 
  333, 13901, 227.314, 970.909, 327.183, 923.031 
  334, 13902, 227.314, 970.909, 327.183, 949.757 
  335,  3943, 232.217, 968.441, 335.103, 4236.507 
  336,  3944, 232.217, 968.441, 335.103, 1913.909 
  337,  8616, 233.350, 978.045, 342.622, 3593.259 
  338,  8617, 233.350, 978.045, 342.622, 4668.310 
  339,  8618, 233.350, 978.045, 342.622, 2052.442 
  340,  8619, 233.350, 978.045, 342.622, 1921.606 
  341,  8631, 233.350, 978.045, 342.622, 298.956 
  342,  8632, 233.350, 978.045, 342.622, 2151.854 
  343, 12123, 260.005, 997.179, 325.649, 754.176 
  344, 12145, 242.071, 996.571, 331.069, 1080.885 
  345,  9523, 223.965, 985.648, 333.671, 778.252 
  346,  9830, 233.958, 991.539, 338.108, 1119.032 
  347,  9831, 233.958, 991.539, 338.108, 1736.967 
  348,  8701, 204.812, 956.045, 341.539, 2172.892 
  349,  8702, 204.812, 956.045, 341.539, 2597.563 
  350,  8703, 204.812, 956.045, 341.539, 127.543 
  351,  8704, 204.812, 956.045, 341.539, 4730.302 
  352,  8705, 204.812, 956.045, 341.539, 4730.302 
  353,  8706, 204.812, 956.045, 341.539, 3853.951 
  354,  8715, 204.812, 956.045, 341.539, 1122.313 
  355,  8716, 204.812, 956.045, 341.539, 2401.925 
  356, 19185, 215.110, 967.147, 343.823, 2150.810 
  357,  9912, 210.510, 955.345, 331.229, 2792.463 
  358,  9913, 210.510, 955.345, 331.229, 4990.197 
  359,  9914, 210.510, 955.345, 331.229, 191.404 
  360,  9915, 210.510, 955.345, 331.229, 456.404 
  361,  9916, 210.510, 955.345, 331.229, 3117.281 
  362,  1314, 252.457, 997.516, 339.560, 2083.285 
  363,  1315, 252.457, 997.516, 339.560, 5054.094 
  364,  1316, 252.457, 997.516, 339.560, 5054.094 
  365,  1317, 252.457, 997.516, 339.560, 2738.664 
  366,  1318, 252.457, 997.516, 339.560, 2336.650 
  367,  1178, 200.106, 955.564, 343.766, 1079.797 
  368,  1180, 200.106, 955.564, 343.766, 135.140 
  369,  1181, 200.106, 955.564, 343.766, 4893.098 
  370,  1182, 200.106, 955.564, 343.766, 4709.937 
  371, 13040, 267.987, 996.757, 335.672, 100.124 
  372,  3593, 235.898, 980.953, 324.209, 1724.812 
  373,  3594, 235.898, 980.953, 324.209, 5141.319 
  374,  3595, 235.898, 980.953, 324.209, 3705.237 
  375,  3598, 235.898, 980.953, 324.209, 1814.495 
  376, 12599, 286.724, 1012.148, 324.145, 2423.982 
  377, 12600, 286.724, 1012.148, 324.145, 940.886 
  378, 12603, 286.724, 1012.148, 324.145, 2632.156 
  379, 12604, 286.724, 1012.148, 324.145, 4881.842 
  380,  5169, 297.875, 1048.015, 332.008, 1037.100 
  381,  5170, 297.875, 1048.015, 332.008, 4947.144 
  382,  5171, 297.875, 1048.015, 332.008, 440.214 
  383, 16333, 281.409, 1006.848, 332.126, 1161.215 
  384,  3926, 275.549, 1000.584, 334.877, 5161.376 
  385,  3927, 275.549, 1000.584, 334.877, 3524.532 
  386,  3930, 275.549, 1000.584, 334.877, 4888.867 
  387,  3931, 275.549, 1000.584, 334.877, 382.166 
  388,  3933, 275.549, 1000.584, 334.877, 5175.234 
  389,  3934, 275.549, 1000.584, 334.877, 5175.234 
  390,  3935, 275.549, 1000.584, 334.877, 4472.510 
  391,  3936, 275.549, 1000.584, 334.877, 4789.974 
  392,  3939, 275.549, 1000.584, 334.877, 4911.952 
  393,  3940, 275.549, 1000.584, 334.877, 3711.960 
  394,   511, 251.986, 1002.101, 338.480, 4504.633 
  395,   512, 251.986, 1002.101, 338.480, 2989.768 
  396,  3039, 250.647, 1000.268, 321.434, 2752.443 
  397,  3040, 250.647, 1000.268, 321.434, 3638.950 
  398, 11266, 286.673, 1009.704, 332.946, 1652.015 
  399, 11267, 286.673, 1009.704, 332.946, 4822.983 
  400, 11268, 286.673, 1009.704, 332.946, 1655.802 
  401,  4121, 274.770, 1026.573, 335.903, 278.056 
  402,  4122, 274.770, 1026.573, 335.903, 5084.225 
  403,  4123, 274.770, 1026.573, 335.903, 5084.225 
  404,  4124, 274.770, 1026.573, 335.903, 4968.667 
  405,  1834, 260.970, 1007.736, 322.272, 3324.273 
  406,  1835, 260.970, 1007.736, 322.272, 5096.136 
  407,  1836, 260.970, 1007.736, 322.272, 3990.072 
  408,  7854, 255.751, 1002.892, 342.501, 1555.341 
  409,  7855, 255.751, 1002.892, 342.501, 3063.019 
  410,  7857, 255.751, 1002.892, 342.501, 1209.083 
  411, 11306, 274.058, 1027.620, 327.865, 494.429 
  412, 11308, 274.058, 1027.620, 327.865, 1873.318 
  413, 11309, 274.058, 1027.620, 327.865, 2884.028 
  414,  8354, 277.993, 1022.480, 321.797, 3089.491 
  415, 19546, 269.574, 1008.388, 324.087, 3021.604 
  416, 19547, 269.574, 1008.388, 324.087, 533.004 
  417, 11244, 256.279, 1003.316, 324.978, 1913.164 
  418, 11245, 256.279, 1003.316, 324.978, 462.595 
  419,  2734, 265.839, 1006.179, 323.885, 1026.602 
  420,  2735, 265.839, 1006.179, 323.885, 1421.493 
  421,  9604, 279.355, 1029.624, 323.360, 3998.988 
  422,  9605, 279.355, 1029.624, 323.360, 4927.367 
  423,  9606, 279.355, 1029.624, 323.360, 760.065 
  424, 15736, 292.221, 1044.290, 327.557, 742.111 
  425, 15737, 292.221, 1044.290, 327.557, 5424.736 
  426, 15738, 292.221, 1044.290, 327.557, 5424.736 
  427, 15739, 292.221, 1044.290, 327.557, 5424.736 
  428, 15740, 292.221, 1044.290, 327.557, 1186.502 
  429, 19228, 299.982, 1043.163, 333.972, 3259.124 
  430, 19229, 299.982, 1043.163, 333.972, 5404.021 
  431, 19230, 299.982, 1043.163, 333.972, 283.525 
  432, 12990, 289.942, 1036.986, 333.631, 3434.660 
  433, 12991, 289.942, 1036.986, 333.631, 4641.915 
  434,  8268, 318.655, 1068.348, 333.564, 1716.914 
  435,  1866, 333.312, 1086.127, 327.125, 3421.318 
  436,  1867, 333.312, 1086.127, 327.125, 746.230 
  437, 12139, 300.758, 1046.161, 321.544, 651.856 
  438, 12140, 300.758, 1046.161, 321.544, 2901.964 
  439, 12141, 300.758, 1046.161, 321.544, 2233.328 
  440, 12146, 300.758, 1046.161, 321.544, 2016.784 
  441, 10447, 314.440, 1055.907, 335.956, 1654.402 
  442, 10448, 314.440, 1055.907, 335.956, 311.778 
  443, 10289, 340.594, 1091.622, 329.695, 1720.808 
  444, 10291, 340.594, 1091.622, 329.695, 885.955 
  445, 10522, 364.155, 1092.153, 328.083, 1534.169 
  446, 10523, 364.155, 1092.153, 328.083, 5470.969 
  447, 10524, 364.155, 1092.153, 328.083, 1623.080 
  448,  3431, 366.106, 1098.183, 317.902, 1367.111 
  449, 15531, 316.388, 1063.308, 327.958, 1489.709 
  450, 15532, 316.388, 1063.308, 327.958, 5297.106 
  451, 15533, 316.388, 1063.308, 327.958, 5297.106 
  452, 15534, 316.388, 1063.308, 327.958, 3001.332 
  453,  2070, 369.178, 1098.040, 324.440, 3250.122 
  454, 12565, 311.928, 1032.557, 325.667, 549.016 
  455, 12566, 311.928, 1032.557, 325.667, 4975.471 
  456, 12567, 311.928, 1032.557, 325.667, 574.686 
  457,   665, 344.116, 1073.739, 332.766, 3158.920 
  458,   666, 344.116, 1073.739, 332.766, 5498.198 
  459,   667, 344.116, 1073.739, 332.766, 5498.198 
  460,   668, 344.116, 1073.739, 332.766, 3227.393 
  461,   669, 344.116, 1073.739, 332.766, 736.220 
  462, 17875, 334.327, 1071.965, 339.515, 655.776 
  463, 17876, 334.327, 1071.965, 339.515, 3866.359 
  464, 17878, 334.327, 1071.965, 339.515, 2672.884 
  465, 17879, 334.327, 1071.965, 339.515, 88.938 
  466,  3238, 341.523, 1077.811, 336.897, 961.668 
  467,  3239, 341.523, 1077.811, 336.897, 1394.955 
  468, 10995, 322.137, 1073.347, 326.548, 2849.218 
  469, 10996, 322.137, 1073.347, 326.548, 802.652 
  470,  9998, 336.774, 1066.681, 333.822, 1687.909 
  471,  9999, 336.774, 1066.681, 333.822, 645.749 
  472, 10000, 336.774, 1066.681, 333.822, 2216.507 
  473, 12431, 311.994, 1050.611, 321.947, 2342.317 
  474, 12432, 311.994, 1050.611, 321.947, 1343.753 
  475, 19379, 306.344, 1042.012, 322.039, 3057.951 
  476,  9876, 324.475, 1058.077, 318.599, 206.918 
  477, 16854, 362.172, 1095.500, 333.568, 4834.186 
  478, 16855, 362.172, 1095.500, 333.568, 1028.712 
  479, 18853, 303.342, 1038.720, 336.613, 4959.430 
  480, 18854, 303.342, 1038.720, 336.613, 4653.429 
  481, 18858, 303.342, 1038.720, 336.613, 1387.159 
